78,FGA0150,PROJETO INTEGRADOR DE ENGENHARIA 1
79,FGA0152,ERGONOMIA DO PRODUTO
80,FGA0154,MECANICA DOS SÓLIDOS 1 PARA ENGENHARIA
81,FGA0155,INTRODUÇÃO AO DESIGN E CONCEPÇÃO DE VEÍCULOS
82,FGA0156,COMBUSTÍVEIS E BIOCOMBUSTÍVEIS
83,FGA0157,PROBABILIDADE E ESTATÍSTICA APLICADO A ENGENHARIA
84,FGA0158,ORIENTAÇÃO A OBJETOS
85,FGA0160,MÉTODOS NUMÉRICOS PARA ENGENHARIA
86,FGA0161,ENGENHARIA E AMBIENTE
87,FGA0163,INTRODUÇÃO À ENGENHARIA
88,FGA0164,HUMANIDADES E CIDADANIA
89,FGA0166,ELEMENTOS E MÉTODOS EM ELETRÔNICA
90,FGA0167,SISTEMAS AUTOMOTIVOS
91,FGA0168,DESENHO INDUSTRIAL ASSISTIDO POR COMPUTADOR
92,FGA0169,FONTES DE ENERGIA E TECNOLOGIAS DE CONVERSÃO
93,FGA0170,FUNDAMENTOS DE SISTEMAS OPERACIONAIS
94,FGA0172,REQUISITOS DE SOFTWARE
95,FGA0173,INTERAÇÃO HUMANO COMPUTADOR
96,FGA0175,ENGENHARIA DE PETRÓLEO E GÁS
97,FGA0177,ANÁLISE INSTRUMENTAL DE COMBUSTÍVEIS
98,FGA0179,MECANICA DOS SÓLIDOS 2 PARA ENGENHARIA
99,FGA0181,INOVAÇÃO
100,FGA0184,GESTÃO DA PRODUÇÃO E QUALIDADE
101,FGA0188,MÉTODOS EXPERIMENTAIS PARA ENGENHARIA
102,FGA0190,PROJETO DE ELEMENTOS AUTOMOTIVOS
103,FGA0191,MATERIAIS COMPOSTOS E PLÁSTICOS
104,FGA0194,ARQUITETURA DE MOTORES DE COMBUSTÃO INTERNA
105,FGA0195,GESTÃO DA PRODUÇÃO AUTOMOTIVA
106,FGA0201,PROJETO DE CIRCUITOS INTEGRADOS DIGITAIS
107,FGA0204,DINÂMICA DOS FLUÍDOS
108,FGA0206,ENGENHARIA DE PRODUTO DE SOFTWARE
109,FGA0208,ARQUITETURA E DESENHO DE SOFTWARE
110,FGA0210,PARADIGMAS DE PROGRAMAÇÃO
111,FGA0211,FUNDAMENTOS DE REDES DE COMPUTADORES
112,FGA0214,TÓPICOS ESPECIAIS EM ENGENHARIA AUTOMOTIVA
113,FGA0219,PROCESSAMENTO DE SINAIS
114,FGA0221,INTELIGÊNCIA ARTIFICIAL
115,FGA0222,INSTRUMENTAÇÃO BIOMÉDICA 1
116,FGA0226,ELETRÔNICA VEICULAR
117,FGA0228,PROJETO DE SISTEMAS AUTOMOTIVOS
118,FGA0229,ANÁLISE ESTRUTURAL MÉTODO DOS ELEMENTOS FINITOS
119,FGA0230,DINÂMICA DE VEÍCULOS
120,FGA0232,INTEGRAÇÃO E TESTES
121,FGA0235,TÓPICOS ESPECIAIS 1 EM ENGENHARIA DE ENERGIA
122,FGA0236,BIORREFINARIAS
123,FGA0238,TESTES DE SOFTWARE
124,FGA0240,GERÊNCIA DE CONFIGURAÇÃO E EVOLUÇÃO DE SOFTWARE
125,FGA0242,TÉCNICAS DE PROGRAMAÇÃO EM PLATAFORMAS EMERGENTES
126,FGA0244,PROGRAMAÇÃO PARA SISTEMAS PARALELOS E DISTRIBUÍDOS
127,FGA0250,PROJETO INTEGRADOR DE ENGENHARIA 2
128,FGA0252,SISTEMAS HIDROELÉTRICOS
129,FGA0254,CIÊNCIAS AEROESPACIAIS
130,FGA0259,MODELAGEM DE SISTEMAS BIOLÓGICOS
131,FGA0261,TÓPICOS ESPECIAIS EM ELETRONICA
132,FGA0262,TRANSMISSÃO E DISTRIBUIÇÃO DE ENERGIA ELÉTRICA
133,FGA0265,ECONOMIA DE ENERGIA
134,FGA0266,ACÚSTICA E VIBRAÇÕES VEICULARES
